ADDRESS_X,LATITUDE_X,LONGITUDE_X,AGE,COMMUNITY_COUNCIL_NEIGHBORHOOD,CPD_NEIGHBORHOOD,CRASHDATE,CRASHLOCATION,CRASHSEVERITY,CRASHSEVERITYID,DATECRASHREPORTED,DAYOFWEEK,GENDER,INJURIES,INSTANCEID,LIGHTCONDITIONSPRIMARY,LOCALREPORTNO,MANNEROFCRASH,ROADCONDITIONSPRIMARY,ROADCONTOUR,ROADSURFACE,SNA_NEIGHBORHOOD,TYPEOFPERSON,WEATHER,ZIP
26XX BALTIMORE AV,39.157323,-84.565294,18-25,VILLAGES AT ROLL HILL,FAY APARTMENTS,08/15/2018 03:40:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/15/2018 03:42:00 PM +0000,WED,F - FEMALE,1 - NO INJURY / NONE REPORTED,EE7FF682-9CC9-4F46-AB7F-6E05867D72D5,1 - DAYLIGHT,185011357,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,02 - WET,3 - CURVE LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",EAST WESTWOOD,D - DRIVER,4 - RAIN,45225
17XX DANA AV,39.149601,84.480481,51-60,N/A,N/A,08/19/2018 06:15:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/19/2018 06:30:00 PM +0000,SUN,M - MALE,1 - NO INJURY / NONE REPORTED,60DF2EBA-FA73-4433-9252-81D67615DFA4,1 - DAYLIGHT,185011597,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45207
S I75 AT 6-6 MM,39.165886,-84.508082,61-70,N/A,N/A,08/20/2018 02:20:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/20/2018 02:45:00 PM +0000,MON,M - MALE,1 - NO INJURY / NONE REPORTED,A6F2FFB8-A8D9-4230-8E6D-E7E583E81DEA,1 - DAYLIGHT,185011658,5 - BACKING,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45214
26XX SPRING GROVE AV,39.128321,84.537078,51-60,N/A,N/A,08/08/2018 07:30:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/08/2018 07:34:00 AM +0000,WED,F - FEMALE,1 - NO INJURY / NONE REPORTED,EFEF9034-6D8F-4C23-87D8-645CB0B867FF,1 - DAYLIGHT,185010994,6 - ANGLE,02 - WET,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,2 - CLOUDY,45214
12XX SPRING ST,39.111041,84.507132,UNKNOWN,N/A,N/A,08/17/2018 02:30:00 AM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/17/2018 04:50:00 AM +0000,FRI,,1 - NO INJURY / NONE REPORTED,2A9A0884-AC25-4B98-B91B-FD76A7A0B872,4 - DARK - LIGHTED ROADWAY,185011469,9 - UNKNOWN,02 - WET,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45202
2XX E LIBERTY ST,39.113221,84.512329,31-40,N/A,N/A,08/08/2018 07:50:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/08/2018 07:55:00 AM +0000,WED,M - MALE,1 - NO INJURY / NONE REPORTED,1C3D56C2-C425-450E-A95D-30D4657A0DFC,1 - DAYLIGHT,185011000,"7 - SIDESWIPE, SAME DIRECTION",02 - WET,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,2 - CLOUDY,45202
34XX VINE ST,39.143468,-84.509476,31-40,AVONDALE,CLIFTON,08/21/2018 09:02:00 AM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/21/2018 09:16:00 AM +0000,TUE,M - MALE,1 - NO INJURY / NONE REPORTED,5EA7814A-4679-4580-BD94-4FD1132108E6,1 - DAYLIGHT,185011670,6 - ANGLE,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CUF,D - DRIVER,1 - CLEAR,45220
9XX RACE ST,39.106558,84.516175,UNKNOWN,N/A,N/A,08/23/2018 02:10:00 PM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/23/2018 02:11:00 PM +0000,THU,M - MALE,1 - NO INJURY / NONE REPORTED,32B2C933-148F-46F6-BD63-8DFBAF50059D,1 - DAYLIGHT,185011782,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,O - OCCUPANT,1 - CLEAR,45202
76XX READING RD,39.200157,84.456314,26-30,N/A,N/A,08/04/2018 02:02:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/04/2018 02:02:00 PM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,82C3CC44-9471-4FB5-A17B-92174724950B,1 - DAYLIGHT,185010814,4 - REAR-TO-REAR,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,O - OCCUPANT,1 - CLEAR,45237
3XX W KING DR,39.135238,84.520361,31-40,N/A,N/A,08/10/2018 10:57:00 AM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/10/2018 11:00:00 AM +0000,FRI,F - FEMALE,1 - NO INJURY / NONE REPORTED,3AB2A0F4-3B7F-479A-ABC5-B3BB9A662DD6,1 - DAYLIGHT,185011095,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45220
25XX OHIO AV,39.12841,84.51479,UNKNOWN,N/A,N/A,08/18/2018 09:00:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/18/2018 10:40:00 PM +0000,SAT,,1 - NO INJURY / NONE REPORTED,E930CADB-E22C-423B-8E54-A73CE27B7495,4 - DARK - LIGHTED ROADWAY,185011564,5 - BACKING,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45220
65XX MONTGOMERY RD,39.187041,84.417301,31-40,N/A,N/A,08/17/2018 08:00:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/17/2018 09:00:00 PM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,BB08E936-CD56-41DE-BC4C-2268D15ED6DD,3 - DUSK,185011524,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,2 - CLOUDY,45213
12XX QUEBEC RD,39.115272,-84.575048,UNKNOWN,EAST PRICE HILL,EAST PRICE HILL,08/05/2018 02:00:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/05/2018 02:01:00 PM +0000,SUN,,1 - NO INJURY / NONE REPORTED,C676A674-AFED-4A51-B9D5-2433EA1DEC7C,1 - DAYLIGHT,185010854,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",EAST PRICE HILL,D - DRIVER,1 - CLEAR,45205
3XX E PETE ROSE WY,39.099837,84.501776,41-50,N/A,N/A,08/18/2018 10:10:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/18/2018 10:14:00 PM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,5AB1BC66-9A3D-40EA-9C46-52D4ACDE551F,4 - DARK - LIGHTED ROADWAY,185011570,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,2 - CLOUDY,45202
1XX W KING DR,39.135055,84.50998,51-60,N/A,N/A,08/27/2018 05:40:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/27/2018 05:58:00 PM +0000,MON,M - MALE,1 - NO INJURY / NONE REPORTED,98EE91C9-FDA2-40E8-90BE-2409B2396A0B,1 - DAYLIGHT,185011973,2 - REAR-END,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45221
23XX RAVINE,39.127491,84.526251,18-25,N/A,N/A,08/14/2018 01:00:10 PM +0000,"06 - FIVE-POINT, OR MORE",3 - PROPERTY DAMAGE ONLY (PDO),3,08/14/2018 02:00:12 PM +0000,TUE,M - MALE,1 - NO INJURY / NONE REPORTED,C9CFFE3B-D8A2-4E67-95FA-59BA9AAA0754,1 - DAYLIGHT,185011294,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,P - PEDESTRIAN,1 - CLEAR,45219
63XX DALY RD,39.204881,84.532655,OVER 70,N/A,N/A,08/08/2018 05:00:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/08/2018 05:08:00 PM +0000,WED,M - MALE,3 - NON-INCAPACITATING,2F2575E2-362E-449B-8926-9AD9FB968A84,1 - DAYLIGHT,185011037,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45224
18XX QUEEN CITY AV,39.125295,-84.557128,UNDER 18,SOUTH FAIRMOUNT,SOUTH  FAIRMOUNT,08/11/2018 10:48:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/11/2018 10:49:00 PM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,85B18C33-EB1C-4E7A-B048-1982D9F66BDF,4 - DARK - LIGHTED ROADWAY,185011199,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,02 - WET,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",SOUTH FAIRMOUNT,O - OCCUPANT,2 - CLOUDY,45214
3XX WARNER ST,39.125116,-84.52308,18-25,CUF,FAIRVIEW,08/15/2018 01:00:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/15/2018 01:10:00 PM +0000,WED,M - MALE,1 - NO INJURY / NONE REPORTED,01E50AB4-2DE7-4ED2-A370-5DDDF81525DA,1 - DAYLIGHT,185011350,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CUF,D - DRIVER,1 - CLEAR,45219
1XX E 3RD ST,39.098172,-84.510231,18-25,DOWNTOWN,C. B. D. / RIVERFRONT,08/14/2018 05:30:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/14/2018 05:35:00 PM +0000,TUE,F - FEMALE,1 - NO INJURY / NONE REPORTED,41E3A74A-03B0-4B4E-92CA-ED65FD0AA983,1 - DAYLIGHT,185011312,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",DOWNTOWN,D - DRIVER,1 - CLEAR,45202
5XX W KING DR,39.138381,84.523701,18-25,N/A,N/A,08/25/2018 01:08:00 PM +0000,10 - DRIVEWAY/ALLEY ACCESS,2 - INJURY,2,08/25/2018 01:09:00 PM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,8AED9010-0517-459E-A83F-5D857FF86B7E,1 - DAYLIGHT,185011875,5 - BACKING,02 - WET,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,4 - RAIN,45220
13XX DELTA AV,39.136211,84.427843,61-70,N/A,N/A,08/17/2018 07:48:00 AM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/17/2018 07:48:00 AM +0000,FRI,F - FEMALE,1 - NO INJURY / NONE REPORTED,7B3CB3CF-71CD-4F47-BBF6-B1A4663BED3A,1 - DAYLIGHT,185011474,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,02 - WET,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,4 - RAIN,45208
34XX ALAMO DR,39.146981,84.543619,51-60,N/A,N/A,08/22/2018 04:50:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/22/2018 06:31:01 PM +0000,WED,M - MALE,1 - NO INJURY / NONE REPORTED,46D648DA-7C03-48ED-8BB5-F871081A8AA2,1 - DAYLIGHT,185011751,6 - ANGLE,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45251
9XX ELBERON AV,39.110761,-84.564489,31-40,EAST PRICE HILL,EAST PRICE HILL,08/17/2018 09:31:00 PM +0000,03 - T-INTERSECTION,2 - INJURY,2,08/17/2018 11:30:00 PM +0000,FRI,F - FEMALE,3 - NON-INCAPACITATING,CAB6DF1E-DFCA-4411-A392-CBADB6DA595B,4 - DARK - LIGHTED ROADWAY,185011528,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",EAST PRICE HILL,D - DRIVER,1 - CLEAR,45205
4XX W CENTRAL PARKWAY,39.106145,84.519073,51-60,N/A,N/A,08/11/2018 08:07:00 AM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/11/2018 08:07:00 AM +0000,SAT,M - MALE,3 - NON-INCAPACITATING,C522FC53-C992-4E5D-B871-CB0E62056313,1 - DAYLIGHT,185011158,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,O - OCCUPANT,1 - CLEAR,45214
N I75 AT 3-6 MM,39.148781,-84.539471,18-25,CAMP WASHINGTON,CAMP  WASHINGTON,08/16/2018 09:39:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/16/2018 09:39:00 PM +0000,THU,M - MALE,1 - NO INJURY / NONE REPORTED,9A75960A-4E47-4770-B854-73F5C8C17B70,4 - DARK - LIGHTED ROADWAY,185011458,"7 - SIDESWIPE, SAME DIRECTION",02 - WET,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CAMP WASHINGTON,D - DRIVER,4 - RAIN,45211
77XX NEWBEDFORD AV,39.204138,-84.458596,31-40,ROSELAWN,ROSELAWN,08/27/2018 05:00:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/27/2018 05:02:00 PM +0000,MON,M - MALE,1 - NO INJURY / NONE REPORTED,07010518-286A-40F8-A8F4-FA2AF54D857B,1 - DAYLIGHT,185011976,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",ROSELAWN,D - DRIVER,1 - CLEAR,45237
49XX RIDGE AV,39.164179,84.421881,18-25,N/A,N/A,08/20/2018 04:02:00 PM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/20/2018 04:03:00 PM +0000,MON,F - FEMALE,1 - NO INJURY / NONE REPORTED,E8E4E8AA-EEEF-4B99-A530-910A6E3CDC5A,1 - DAYLIGHT,185011636,6 - ANGLE,02 - WET,2 - STRAIGHT GRADE,1 - CONCRETE,N/A,D - DRIVER,4 - RAIN,45209
30XX COLERAIN AV,39.137473,84.536858,31-40,N/A,N/A,08/02/2018 05:30:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/02/2018 06:20:00 PM +0000,THU,F - FEMALE,1 - NO INJURY / NONE REPORTED,F2FDCED7-4B20-45B1-B4DF-3F7C0FAE04EC,1 - DAYLIGHT,185010717,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45225
16XX LINN ST,39.114045,84.527823,61-70,N/A,N/A,08/11/2018 11:00:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/11/2018 01:08:56 PM +0000,SAT,F - FEMALE,1 - NO INJURY / NONE REPORTED,E12C5790-99E6-422B-80EA-83444EA9B210,1 - DAYLIGHT,185011165,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45214
N I75 AT 9-2 MM,39.192004,84.479356,26-30,N/A,N/A,08/11/2018 02:13:00 AM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/11/2018 02:13:00 AM +0000,SAT,M - MALE,2 - POSSIBLE,EF243928-2871-4625-959A-8D39FFF475CF,4 - DARK - LIGHTED ROADWAY,185011147,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,02 - WET,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,4 - RAIN,45229
29XX GILBERT AV,39.132931,-84.487428,UNKNOWN,WALNUT HILLS,WALNUT HILLS,08/19/2018 01:15:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/19/2018 01:22:00 PM +0000,SUN,,1 - NO INJURY / NONE REPORTED,FD9736B1-9A90-4D79-8878-AD3FA36EF9C9,1 - DAYLIGHT,185011587,5 - BACKING,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",WALNUT HILLS,D - DRIVER,1 - CLEAR,45206
35XX HARVEY AV,39.147508,-84.497758,UNKNOWN,AVONDALE,AVONDALE,08/03/2018 03:30:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/03/2018 07:15:00 AM +0000,FRI,,1 - NO INJURY / NONE REPORTED,6BCF872E-BA97-4263-BD1E-716208EDF232,9 - UNKNOWN,185010739,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",AVONDALE,D - DRIVER,1 - CLEAR,45229
50XX KELLOGG AV,39.083966,84.416316,18-25,N/A,N/A,08/08/2018 05:26:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/08/2018 05:26:00 PM +0000,WED,F - FEMALE,1 - NO INJURY / NONE REPORTED,CDDF7F35-CAD4-4A3E-9897-7F33E314AAC5,1 - DAYLIGHT,185011023,2 - REAR-END,10 - OTHER,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45228
36XX MADISON RD,39.158771,84.417541,51-60,N/A,N/A,08/15/2018 08:49:00 AM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/15/2018 08:51:06 AM +0000,WED,F - FEMALE,2 - POSSIBLE,DD8E37AE-9C5F-47BC-B4F3-39F4CF0F250A,1 - DAYLIGHT,185011335,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45209
4XX MT HOPE AV,39.996463,84.557715,26-30,N/A,N/A,08/16/2018 07:10:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/16/2018 07:15:00 AM +0000,THU,M - MALE,1 - NO INJURY / NONE REPORTED,5E3991D9-8A2C-4BCC-A7DD-4C15F2D2C231,2 - DAWN,185011397,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,02 - WET,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,4 - RAIN,45205
54XX MADISON RD,39.160416,84.399934,UNKNOWN,N/A,N/A,08/21/2018 09:30:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/21/2018 09:30:00 AM +0000,TUE,,1 - NO INJURY / NONE REPORTED,08908561-91DF-464C-AFF9-6C4E714BDA74,1 - DAYLIGHT,185011668,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45227
S I75 AT 0-6 MM,39.100755,-84.523208,51-60,DOWNTOWN,QUEENSGATE,08/07/2018 04:40:00 PM +0000,07 - ON RAMP,2 - INJURY,2,08/07/2018 04:41:00 PM +0000,TUE,F - FEMALE,2 - POSSIBLE,62891337-9FCB-4E8E-BECC-6FEB886F1AC0,1 - DAYLIGHT,185010962,2 - REAR-END,02 - WET,4 - CURVE GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",DOWNTOWN,D - DRIVER,2 - CLOUDY,45202
21XX STAEBLER ST,39.103873,84.553177,26-30,N/A,N/A,08/08/2018 03:15:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/08/2018 03:15:00 PM +0000,WED,M - MALE,1 - NO INJURY / NONE REPORTED,208F7868-B019-4E80-B22E-53DAA7CB0A0A,1 - DAYLIGHT,185011040,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,O - OCCUPANT,1 - CLEAR,45204
33XX MUDDY CREEK RD,39.136325,-84.614756,31-40,WESTWOOD,WESTWOOD,08/20/2018 01:17:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/20/2018 01:20:00 PM +0000,MON,M - MALE,1 - NO INJURY / NONE REPORTED,7AF9734D-80DC-4556-888F-1F0CAB376C3A,1 - DAYLIGHT,185011626,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",WESTWOOD,D - DRIVER,2 - CLOUDY,45238
8XX FAIRBANKS AV,39.106344,84.569686,51-60,N/A,N/A,08/19/2018 03:50:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/19/2018 03:51:00 PM +0000,SUN,M - MALE,1 - NO INJURY / NONE REPORTED,0A45B8B8-E12F-40BD-8A97-B61EDDD404FA,1 - DAYLIGHT,185011595,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45205
50XX GLENCROSSING WY,39.13173,84.614331,18-25,N/A,N/A,08/25/2018 06:10:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/25/2018 06:11:00 PM +0000,SAT,F - FEMALE,1 - NO INJURY / NONE REPORTED,F8B23023-B86C-465F-A2E2-5F86E97B8D6A,1 - DAYLIGHT,185011891,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,2 - CLOUDY,45238
32XX VANDERCAR WY,39.159298,-84.425633,18-25,OAKLEY,OAKLEY,08/11/2018 12:45:00 AM +0000,03 - T-INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/11/2018 12:45:00 AM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,13B2BF7A-028A-4F56-BE2B-23C37C9C37AD,5 - DARK – ROADWAY NOT LIGHTED,185011142,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,02 - WET,1 - STRAIGHT LEVEL,1 - CONCRETE,OAKLEY,D - DRIVER,4 - RAIN,45209
50XX RIDGE AV,39.165547,84.423316,51-60,N/A,N/A,08/03/2018 03:47:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/03/2018 03:51:00 PM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,8C8216BE-5644-43AB-89D1-BDAE7E2CA0F4,1 - DAYLIGHT,185010762,2 - REAR-END,01 - DRY,3 - CURVE LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45209
X W NORWOOD LATERAL,39.173459,84.485063,UNDER 18,N/A,N/A,08/23/2018 06:30:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/23/2018 06:36:00 PM +0000,THU,F - FEMALE,1 - NO INJURY / NONE REPORTED,EF06E0F3-659E-45AD-9387-A1F6504090A8,1 - DAYLIGHT,185011799,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45237
39XX VINE ST,39.158107,-84.504312,26-30,AVONDALE - NORTH AVONDALE,NORTH AVONDALE,08/24/2018 08:30:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/24/2018 08:40:00 AM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,4D242CE4-52FA-4EB0-A713-CD4D59E55477,1 - DAYLIGHT,185011820,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,AVONDALE,D - DRIVER,1 - CLEAR,45217
17XX LANGDON FARM RD,39.185162,84.465116,51-60,N/A,N/A,08/16/2018 05:08:00 PM +0000,03 - T-INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/16/2018 05:08:00 PM +0000,THU,F - FEMALE,1 - NO INJURY / NONE REPORTED,92B20724-5D5D-4E74-9A96-31424AE5AFAD,1 - DAYLIGHT,185011440,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,2 - CLOUDY,45237
29XX READING RD,39.130933,-84.496888,UNKNOWN,AVONDALE,AVONDALE,08/11/2018 09:58:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/11/2018 09:58:00 PM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,753B010E-871A-466B-8303-F934C32175C6,4 - DARK - LIGHTED ROADWAY,185011198,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",AVONDALE,O - OCCUPANT,1 - CLEAR,45206
